dataset,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,awards_won,avg_training_score,is_promoted
train,65438,1,7,3,2,1,1,35,5,8,1,0,49,0
train,65141,2,22,2,1,3,1,30,5,4,0,0,60,0
train,7513,1,19,2,1,1,1,34,3,7,0,0,50,0
train,2542,1,23,2,1,3,2,39,1,10,0,0,50,0
train,48945,3,26,2,1,3,1,45,3,2,0,0,73,0
train,58896,4,2,2,1,1,2,31,3,7,0,0,85,0
train,20379,2,20,2,2,3,1,31,3,5,0,0,59,0
train,16290,2,34,3,1,1,1,33,3,6,0,0,63,0
train,73202,4,20,2,1,3,1,28,4,5,0,0,83,0
train,28911,1,1,3,1,1,1,32,5,5,1,0,54,0
train,29934,3,23,NA,1,1,1,30,NA,1,0,0,77,0
train,49017,1,7,2,2,1,1,35,5,3,1,0,50,1
train,60051,1,4,2,1,1,1,49,5,5,1,0,49,0
train,38401,3,29,3,1,3,2,39,3,16,0,0,80,0
train,77040,5,2,3,1,1,1,37,3,7,0,0,84,0
train,43931,2,7,2,1,3,1,37,1,10,0,0,60,0
train,7152,3,2,2,1,3,1,38,3,5,1,0,77,0
train,9403,1,31,2,1,3,1,34,1,4,0,0,51,0
train,17436,1,31,2,1,3,1,34,5,8,1,0,46,0
train,54461,2,15,2,1,3,1,37,3,9,0,0,59,0
train,12067,6,14,2,1,3,1,35,3,7,0,0,75,0
train,33332,2,15,NA,1,1,1,41,4,11,0,0,57,0
train,58789,7,11,2,2,3,1,28,3,4,0,0,63,0
train,71177,6,5,2,1,3,1,27,NA,1,0,0,70,0
train,52057,7,22,3,1,1,2,39,5,7,0,0,59,0
train,26585,3,22,2,1,3,1,27,5,3,1,0,83,0
train,37749,6,26,2,1,3,1,31,5,4,1,0,68,0
train,2370,3,26,2,1,3,1,33,4,4,0,0,79,0
train,8219,4,5,2,1,3,1,29,5,3,1,0,80,0
train,74759,1,4,2,1,1,1,26,NA,1,0,0,44,0
train,27395,6,15,2,1,1,1,37,5,10,1,0,72,0
train,58536,7,31,2,1,3,2,26,1,2,0,0,61,0
train,35465,1,7,NA,2,1,1,24,1,2,0,0,48,0
